Product_Name,Brand,MRP,Sale_Price,Discount (%),Rating,Reviews_Count,Category,Stock_Status,Discount_Amount
MARS Ink Black Eyeliner,MARS,254,231.14,9,4,6238,Makeup,In Stock,22.86
Mila Beauté Gloss Girl Lip Gloss with Fuller-Lip Effect & Ex...,Mila,229,210.68,8,4,1641,Makeup,In Stock,18.32
"Insight Cosmetics Non-Transfer Lip Color, 12hr Long Lasting ...",Insight,126,122.22,3,4.5,312345,Makeup,In Stock,3.78
M.A.C MACximal Satin Mini Lipstick,M.A.C,1150,1150,0,4.1,48752,Makeup,In Stock,0
Estee Lauder Double Wear Stay-In-Place Longwear Matte Founda...,Estee,4600,4600,0,4.5,130380,Makeup,In Stock,0
MARS Fabulash Mascara,MARS,219,192.72,12,4.1,22399,Makeup,In Stock,26.28
Shopaarel Miracle Skin Foundation,Shopaarel,1349,1214.1,10,3.8,508,Makeup,In Stock,134.9
Nykaa Ultra Matte Lipstick,Nykaa,389,233.4,40,4.5,232736,Makeup,In Stock,155.6
Pilgrim Glitter Lipstick With Matte Finish,Pilgrim,419,272.35,35,4,1292,Makeup,In Stock,146.65
M.A.C Prep + Prime Fix+ Setting Spray (Makeup Fixer) - Trave...,M.A.C,850,850,0,4,9895,Makeup,In Stock,0
MARS Brow Better Eyebrow Pencil,MARS,69,69,0,4,3961,Makeup,In Stock,0
Kay Beauty Matte Action Lip Liner,Kay,584,525.6,10,4.5,237380,Makeup,In Stock,58.4
Nykaa Cosmetics All Day Matte Long Wear Liquid Foundation Wi...,Nykaa,422,274.3,35,4.5,225017,Makeup,In Stock,147.7
Pixi On The Glow Cream Blush,Pixi,1950,1950,0,4,7900,Makeup,In Stock,0
Blue Heaven Get Matte Long Lasting Lipstick,Blue,94,89.3,5,4,4320,Makeup,In Stock,4.7
"Insight Cosmetics Concealer, Buildabe Coverage With Long Las...",Insight,128,121.6,5,4.1,34085,Makeup,In Stock,6.4
MARS Lightweight BB Cream Foundation,MARS,308,280.28,9,4,8885,Makeup,In Stock,27.72
Kay Beauty Soft Matte Pressed Powder,Kay,1199,1199,0,3.8,298,Makeup,In Stock,0
Parul Garg Beauty Ultimate Silk Matte Collection - Pack Of 1...,Parul,990,990,0,4,1088,Makeup,In Stock,0
e.l.f. Cosmetics Lip Lacquer,e.l.f.,400,400,0,4.1,27719,Makeup,In Stock,0
Nykaa Cosmetics Stardust Dual Chrome Eyeliner with Holograph...,Nykaa,382,324.7,15,4,1467,Makeup,In Stock,57.3
MARS Cosmic Hues Nail Paint,MARS,99,99,0,4,1536,Makeup,In Stock,0
"Insight Cosmetics Blusher With Vitamin E, Multi Use Super Pi...",Insight,102,98.94,3,4.5,131803,Makeup,In Stock,3.06
Kay Beauty Matte Blush,Kay,719,575.2,20,4.5,104165,Makeup,In Stock,143.8
e.l.f. Cosmetics Glow Reviver Lip Oil,e.l.f.,1200,1200,0,4,1396,Makeup,In Stock,0
"Lakme Ultimate Glam Eye Liner, Semi Matte",Lakme,179,161.1,10,4.5,407480,Makeup,In Stock,17.9
"Maybelline New York Color Sensational Ultimattes Lipstick, M...",Maybelline,524,393,25,4.1,49707,Makeup,In Stock,131
"Insight Cosmetics Highlighter,Cream Texture, Long Lasting Re...",Insight,131,127.07,3,4.3,88569,Makeup,In Stock,3.93
M.A.C Retro Matte Liquid Lipcolour,M.A.C,2800,2800,0,4.5,133197,Makeup,In Stock,0
Nykaa Cosmetics Get Cheeky Blush Stick,Nykaa,509,432.65,15,4,2380,Makeup,In Stock,76.35
Kay Beauty Multi Texture Eyeshadow Palette,Kay,1849,1849,0,4,1510,Makeup,In Stock,0
MARS Plush Velvet Lipstick,MARS,232,215.76,7,4,6533,Makeup,In Stock,16.24
Lakme Unreal Blur Perfect Face Primer,Lakme,719,575.2,20,4.5,155421,Makeup,In Stock,143.8
M.A.C MACximal Satin Lipstick,M.A.C,2550,2550,0,4.3,86179,Makeup,In Stock,0
"L'Oreal Paris Infallible Cushion Foundation, 24H Flawless Co...",L'Oreal,937,702.75,25,3.8,172,Makeup,In Stock,234.25
"Insight Cosmetics Smudge Free Eyebrow Pencil, 2 In1 Define &...",Insight,162,153.9,5,4.3,55521,Makeup,In Stock,8.1
Kay Beauty Hd Liquid Concealer,Kay,722,613.7,15,4.5,120960,Makeup,In Stock,108.3
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water F...,Garnier,234,198.9,15,4.3,94824,Makeup,In Stock,35.1
PAC Studio HD Liquid Foundation,PAC,896,806.4,10,4.5,742479,Makeup,In Stock,89.6
"Lakme 9 To 5 Powerplay Priming Foundation, Built In Primer, ...",Lakme,699,699,0,4.5,838397,Makeup,In Stock,0
Nykaa GLAMOReyes Waterproof & Smudgeproof Colored Kajal Eyel...,Nykaa,254,215.9,15,4,5612,Makeup,In Stock,38.1
Swiss Beauty High Performance Foundation With Vitamin C & Ni...,Swiss,378,332.64,12,4.1,19876,Makeup,In Stock,45.36
Insight Cosmetics Gloss Up Vinyl Lip Color,Insight,193,187.21,3,3.8,731,Makeup,In Stock,5.79
inde wild Dewy Lip Balms,inde,759,721.05,5,4,2275,Makeup,In Stock,37.95
"Lakme Forever Matte Lipstick, Made With French Rose Oil Extr...",Lakme,319,271.15,15,4.3,55161,Makeup,In Stock,47.85
Kay Beauty Discover Eyeshadow Palette Quad,Kay,699,699,0,3.8,632,Makeup,In Stock,0
Swiss Beauty Plump Up Wet Lip Gloss For Glossy And Fuller Li...,Swiss,251,225.9,10,4.1,14657,Makeup,In Stock,25.1
Insight Cosmetics Skin Tint 5In1 Multifunctional Serum Found...,Insight,303,287.85,5,3.8,886,Makeup,In Stock,15.15
"Maybelline New York Fit Me Primer, Oil free and Non Comedoge...",Maybelline,495,396,20,4.3,58936,Makeup,In Stock,99
Praush Beauty Celestial Super Soft Makeup Sponge - Pink,Praush,506,465.52,8,4,5431,Makeup,In Stock,40.48
Kay Beauty Smudgeproof Jet Black Gel Kajal - Onyx,Kay,595,595,0,4,8336,Makeup,In Stock,0
MARS 4 In 1 Travel Brush,MARS,619,581.86,6,4,4554,Makeup,In Stock,37.14
SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,SUGAR,854,768.6,10,4.5,382835,Makeup,In Stock,85.4
Faces Canada All Day Hydra Matte Mini - 3 In 1 Foundation + ...,Faces,289,257.21,11,4,3572,Makeup,In Stock,31.79
Maybelline New York Super Stay Lumi-Matte Foundation-30Hr We...,Maybelline,339,288.15,15,3.8,898,Makeup,In Stock,50.85
Nykaa Cosmetics Whipped Blurring Multi-use Blush Pot For Lip...,Nykaa,599,599,0,3.8,368,Makeup,In Stock,0
Mars Won't Smudge Won't Budge Lip Crayon,Mars,262,246.28,6,4.1,24500,Makeup,In Stock,15.72
NARS Light Reflecting Foundation,NARS,4800,4800,0,3.8,172,Makeup,In Stock,0
LoveChild Masaba The Batua Satin Lipstick,LoveChild,1300,1300,0,3.8,101,Makeup,In Stock,0
Swiss Beauty Matte Long Lasting Stay Maxx Lip Crayon Lipstic...,Swiss,263,231.44,12,4.1,35461,Makeup,In Stock,31.56
Nykaa Lip Glaze High Shine and Pigment Lip Gloss Oil Lip Gla...,Nykaa,509,432.65,15,4,2700,Makeup,In Stock,76.35
MARS Glow Fly Liquid Highlighter,MARS,387,375.39,3,3.8,608,Makeup,In Stock,11.61
"Lakme Xtraordin-Airy Compact, 2 In 1 Compact + Foundation, L...",Lakme,799,639.2,20,4.5,190824,Makeup,In Stock,159.8
